flowstations,Gulf of California,Hoover,Page,San Juan,Pagosa,Durango,Confluence,Westwater,Grand,Eagle,Blue Mesa,Gunnison,Crested Butte,Ouray,Dinosaur,Rock Springs,Pine Creek,Green River Lakes,New Fork
Gulf of California,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoover,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Page,0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
San Juan,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pagosa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Confluence,0,0,1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0
Westwater,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,0,0,0
Grand,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eagle,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blue Mesa,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0
Gunnison,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Crested Butte,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ouray,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0,0,0
Dinosaur,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rock Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1
Pine Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Green River Lakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
New Fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
